,house_type,price,Hydro,Water,Heat,smoke,outdor_space,air_conditioning,appliances,furnished,pet_friendly,parking,size_S/Q,wifi_more,Bathrooms,Bedrooms
651,Apartment,$900,No,Yes,No,No,Balcony,Yes,['Laundry (In Unit)'],No,No,1,800,['Not Included'],[' 1'],[' 2']
652,Basement,"$1,195",Yes,Yes,Yes,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Limited,2,900,['Not Included'],[' 1'],[' 2']
653,House,"$3,800",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,"2,200",['Not Included'],[' 2.5'],[' 3 + Den']
654,House,Please Contact,Yes,Yes,Yes,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,"6,970",['Not Included'],[' 3'],[' 3']
655,House,"$1,600",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,800,"['Cable / TV', 'Internet']",[' 1'],[' 2']
656,Apartment,"$1,750",No,Yes,No,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,820,['Not Included'],[' 1'],[' 1']
657,House,"$2,600",Not Included,Not Included,Not Included,No,Yard,No,['Laundry (In Unit)'],No,No,0,"1,200",['Not Included'],[' 2'],[' 3']
658,Condo,"$1,750",Yes,Yes,Yes,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,530,['Not Included'],[' 1'],[' 1']
659,Basement,"$1,850",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,1,650,['Not Included'],[' 1'],[' 2']
660,Basement,"$1,675",Yes,Yes,Yes,No,Not Included,No,['Laundry (In Unit)'],No,Limited,1,900,['Not Included'],[' 1'],[' 2']
661,House,"$1,450",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,900,['Internet'],[' 1'],[' 2']
662,Basement,$975,No,Yes,No,No,Not Included,No,['Laundry (In Unit)'],No,Limited,1,700,['Not Included'],[' 1'],[' 1']
663,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
664,Basement,"$1,750",Yes,Yes,Yes,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,600,['Not Included'],[' 1'],[' 1']
665,House,$480,No,Yes,No,No,Yard,No,['Not Included'],No,Limited,2,"1,111",['Not Included'],[' 1'],[' 1']
666,House,"$4,000",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,0,"1,273",['Not Included'],[' 2'],[' 1 + Den']
667,House,"$2,500",Yes,Yes,Yes,Outdoors only,Not Included,Yes,['Not Included'],No,Yes,1,"2,000","['Cable / TV', 'Internet']",[' 2'],[' 2']
668,Condo,"$1,750",Yes,Yes,Yes,No,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,1,749,['Internet'],[' 1'],[' 1 + Den']
669,Townhouse,"$2,400",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,"1,155",['Not Included'],[' 2'],[' 3']
670,Basement,"$1,800",Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,1,850,['Not Included'],[' 1'],[' 3']
671,Basement,"$1,250",Yes,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,No,0,800,"['Cable / TV', 'Internet']",[' 1'],[' 2']
672,Basement,"$1,350",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,400,['Internet'],[' 1'],[' 1']
673,Basement,"$1,500",No,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,950,['Internet'],[' 1'],[' 2']
674,Condo,"$1,000",Yes,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,600,"['Cable / TV', 'Internet']",[' 1'],[' 2']
675,Condo,"$1,500",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,577,['Not Included'],[' 1'],[' 1']
